id,chr,start,end,strand
BGIOSGA002568-PA,1,18113,19150,+
BGIOSGA002568-PA,1,19344,20165,+
BGIOSGA002567-PA,1,38143,38541,-
BGIOSGA002567-PA,1,38649,38813,-
BGIOSGA002567-PA,1,38917,39015,-
BGIOSGA002578-PA,1,85444,87876,+
BGIOSGA002579-PA,1,88890,89081,+
BGIOSGA002579-PA,1,89171,89691,+
BGIOSGA002579-PA,1,89782,89900,+
BGIOSGA002579-PA,1,90034,90131,+
BGIOSGA002581-PA,1,98744,99217,+
BGIOSGA002581-PA,1,99318,99702,+
BGIOSGA002581-PA,1,100235,100748,+
BGIOSGA002581-PA,1,101386,102775,+
BGIOSGA002582-PA,1,108274,108699,+
BGIOSGA002582-PA,1,109485,109631,+
BGIOSGA002585-PA,1,153287,154552,+
BGIOSGA002586-PA,1,155221,155768,+
BGIOSGA002586-PA,1,156329,156569,+
BGIOSGA002586-PA,1,156701,156818,+
BGIOSGA002586-PA,1,156955,157046,+
BGIOSGA002587-PA,1,158783,158924,+
BGIOSGA002587-PA,1,159043,159089,+
BGIOSGA002587-PA,1,159166,159220,+
BGIOSGA002587-PA,1,159317,159477,+
BGIOSGA002587-PA,1,159588,159670,+
BGIOSGA002587-PA,1,159749,159857,+
BGIOSGA002587-PA,1,160244,160322,+
BGIOSGA002587-PA,1,160449,160513,+
BGIOSGA002587-PA,1,160645,160713,+
BGIOSGA002588-PA,1,161285,161451,+
BGIOSGA002588-PA,1,162588,162686,+
BGIOSGA002588-PA,1,162772,162880,+
BGIOSGA002588-PA,1,162994,163065,+
BGIOSGA002588-PA,1,163290,163334,+
BGIOSGA002588-PA,1,164949,165053,+
BGIOSGA002588-PA,1,165186,165677,+
BGIOSGA002588-PA,1,165767,166163,+
BGIOSGA002588-PA,1,166316,167784,+
BGIOSGA002588-PA,1,168148,168588,+
BGIOSGA002588-PA,1,168681,169352,+
BGIOSGA002589-PA,1,209677,211497,+
BGIOSGA002591-PA,1,229852,229947,+
BGIOSGA002591-PA,1,230388,231594,+
BGIOSGA002591-PA,1,231811,232037,+
BGIOSGA002592-PA,1,233705,233773,+
BGIOSGA002592-PA,1,233915,234031,+
BGIOSGA002592-PA,1,234673,234793,+
BGIOSGA002592-PA,1,235426,235604,+
BGIOSGA002592-PA,1,235830,236106,+
BGIOSGA002592-PA,1,236209,236301,+
BGIOSGA002592-PA,1,236396,236541,+
BGIOSGA002592-PA,1,236708,236815,+
BGIOSGA002592-PA,1,236956,237044,+
BGIOSGA002592-PA,1,237218,237764,+
BGIOSGA002593-PA,1,242773,243330,+
BGIOSGA002593-PA,1,243447,243908,+
BGIOSGA002594-PA,1,246912,247010,+
BGIOSGA002594-PA,1,248843,249162,+
BGIOSGA002594-PA,1,249258,249489,+
BGIOSGA002594-PA,1,249615,249760,+
BGIOSGA002594-PA,1,250866,250953,+
BGIOSGA002594-PA,1,251034,251180,+
BGIOSGA002594-PA,1,252091,252240,+
BGIOSGA002594-PA,1,252342,252389,+
BGIOSGA002595-PA,1,254829,255386,+
BGIOSGA002595-PA,1,255483,255920,+
BGIOSGA002559-PA,1,257576,257598,-
BGIOSGA002559-PA,1,259076,259337,-
BGIOSGA002596-PA,1,265748,266167,+
BGIOSGA002596-PA,1,266242,266364,+
BGIOSGA002596-PA,1,267048,267276,+
BGIOSGA002596-PA,1,268115,268158,+
BGIOSGA002597-PA,1,282794,282977,+
BGIOSGA002597-PA,1,283043,283821,+
BGIOSGA002598-PA,1,300744,300843,+
BGIOSGA002598-PA,1,300949,300987,+
BGIOSGA002598-PA,1,301077,301123,+
BGIOSGA002598-PA,1,301765,301864,+
BGIOSGA002598-PA,1,302108,302364,+
BGIOSGA002598-PA,1,302708,302823,+
BGIOSGA002598-PA,1,303197,303281,+
BGIOSGA002598-PA,1,304419,304598,+
BGIOSGA002598-PA,1,304686,304829,+
BGIOSGA002598-PA,1,304920,304997,+
BGIOSGA002598-PA,1,305089,305150,+
BGIOSGA002598-PA,1,305318,305426,+
BGIOSGA002598-PA,1,306390,306667,+
BGIOSGA002598-PA,1,306744,306810,+
BGIOSGA002598-PA,1,306887,306955,+
BGIOSGA002598-PA,1,307033,307164,+
BGIOSGA002557-PA,1,310266,311219,-
BGIOSGA002600-PA,1,338247,338386,+
BGIOSGA002600-PA,1,338896,339424,+
BGIOSGA002600-PA,1,340487,340633,+
BGIOSGA002600-PA,1,340749,340814,+
BGIOSGA002600-PA,1,340908,340973,+
BGIOSGA002600-PA,1,341086,341160,+
BGIOSGA002600-PA,1,341268,341408,+
BGIOSGA002555-PA,1,342038,342131,-
BGIOSGA002555-PA,1,342210,342327,-
BGIOSGA002555-PA,1,343311,343515,-
BGIOSGA002553-PA,1,354278,354356,-
BGIOSGA002553-PA,1,354777,355386,-
BGIOSGA002553-PA,1,355462,355759,-
BGIOSGA002549-PA,1,411442,412275,-
BGIOSGA002603-PA,1,414484,414552,+
BGIOSGA002603-PA,1,414641,414749,+
BGIOSGA002603-PA,1,414834,414974,+
BGIOSGA002603-PA,1,416010,416171,+
BGIOSGA002603-PA,1,416250,416407,+
BGIOSGA002603-PA,1,416853,416983,+
BGIOSGA002603-PA,1,417058,417145,+
BGIOSGA002603-PA,1,417260,417363,+
BGIOSGA002603-PA,1,418019,418117,+
BGIOSGA002603-PA,1,418733,418789,+
BGIOSGA002603-PA,1,418935,419010,+
BGIOSGA002603-PA,1,419648,419689,+
BGIOSGA002603-PA,1,419807,419877,+
BGIOSGA002603-PA,1,421195,421243,+
BGIOSGA002603-PA,1,422050,422121,+
BGIOSGA002603-PA,1,423073,423153,+
BGIOSGA002603-PA,1,423844,424031,+
BGIOSGA002603-PA,1,424269,424866,+
BGIOSGA002603-PA,1,424952,425020,+
BGIOSGA002603-PA,1,426409,426534,+
BGIOSGA002603-PA,1,426727,426854,+
BGIOSGA002603-PA,1,427665,427821,+
BGIOSGA002603-PA,1,428021,428067,+
BGIOSGA002603-PA,1,428151,428214,+
BGIOSGA002603-PA,1,428370,428444,+
BGIOSGA002603-PA,1,428971,429093,+
BGIOSGA002603-PA,1,429476,429661,+
BGIOSGA002603-PA,1,430858,430982,+
BGIOSGA002603-PA,1,431069,431138,+
BGIOSGA002603-PA,1,431653,431780,+
BGIOSGA002603-PA,1,432264,432405,+
BGIOSGA002603-PA,1,432485,432625,+
BGIOSGA002603-PA,1,432743,432841,+
BGIOSGA002603-PA,1,432917,432963,+
BGIOSGA002603-PA,1,433276,433330,+
BGIOSGA002603-PA,1,433436,433645,+
BGIOSGA002603-PA,1,434365,434436,+
BGIOSGA002603-PA,1,434515,434584,+
BGIOSGA002603-PA,1,434981,435089,+
BGIOSGA002603-PA,1,435196,435319,+
BGIOSGA002603-PA,1,435407,435538,+
BGIOSGA002603-PA,1,435927,435992,+
BGIOSGA002603-PA,1,436486,436533,+
BGIOSGA002603-PA,1,437252,437338,+
BGIOSGA002603-PA,1,437570,437872,+
BGIOSGA002603-PA,1,437955,438067,+
BGIOSGA002603-PA,1,438555,438621,+
BGIOSGA002603-PA,1,438709,438783,+
BGIOSGA002603-PA,1,438868,438990,+
BGIOSGA002603-PA,1,439629,439793,+
BGIOSGA002603-PA,1,439874,439975,+
BGIOSGA002603-PA,1,441018,441169,+
BGIOSGA002603-PA,1,441266,441467,+
BGIOSGA002603-PA,1,441551,441598,+
BGIOSGA002603-PA,1,441687,441770,+
BGIOSGA002603-PA,1,442774,442857,+
BGIOSGA002603-PA,1,443362,443442,+
BGIOSGA002603-PA,1,443516,443605,+
BGIOSGA002603-PA,1,443689,443751,+
BGIOSGA002603-PA,1,444296,444313,+
BGIOSGA002603-PA,1,444710,444850,+
BGIOSGA002603-PA,1,444966,445022,+
BGIOSGA002603-PA,1,445110,445169,+
BGIOSGA002603-PA,1,445562,445656,+
BGIOSGA002603-PA,1,445746,445854,+
BGIOSGA002603-PA,1,446538,446627,+
